Study,Time,Conc,SD,Unit,Matrix,Species,Route,Repeat,Dose,Chemical,Interval
1,0.083,21.96,10.25,ug/ml,P,Swine,IV,1,10,CTC,24
1,0.167,13.6,6.41,ug/ml,P,Swine,IV,1,10,CTC,24
1,0.25,11.03,5.02,ug/ml,P,Swine,IV,1,10,CTC,24
1,0.5,8.62,3.67,ug/ml,P,Swine,IV,1,10,CTC,24
1,0.75,7.84,3.6,ug/ml,P,Swine,IV,1,10,CTC,24
1,1,6.28,2.82,ug/ml,P,Swine,IV,1,10,CTC,24
1,1.5,5.42,2.8,ug/ml,P,Swine,IV,1,10,CTC,24
1,2,4.71,2.99,ug/ml,P,Swine,IV,1,10,CTC,24
1,3,4.55,2.72,ug/ml,P,Swine,IV,1,10,CTC,24
1,4,3.33,1.01,ug/ml,P,Swine,IV,1,10,CTC,24
1,6,2.26,0.93,ug/ml,P,Swine,IV,1,10,CTC,24
1,8,1.58,0.75,ug/ml,P,Swine,IV,1,10,CTC,24
1,12,1.02,0.63,ug/ml,P,Swine,IV,1,10,CTC,24
1,16,0.73,0.44,ug/ml,P,Swine,IV,1,10,CTC,24
1,24,0.35,0.23,ug/ml,P,Swine,IV,1,10,CTC,24
2,0.08,53.38,18.7,ug/ml,P,Swine,IV,1,11,CTC,24
2,0.17,33.64,13.6,ug/ml,P,Swine,IV,1,11,CTC,24
2,0.25,19.46,6.41,ug/ml,P,Swine,IV,1,11,CTC,24
2,0.5,13.1,3.37,ug/ml,P,Swine,IV,1,11,CTC,24
2,1,9.74,2.34,ug/ml,P,Swine,IV,1,11,CTC,24
2,1.5,7.96,1.36,ug/ml,P,Swine,IV,1,11,CTC,24
2,2,7.08,1.15,ug/ml,P,Swine,IV,1,11,CTC,24
2,4,4.98,0.78,ug/ml,P,Swine,IV,1,11,CTC,24
2,6,3.06,0.5,ug/ml,P,Swine,IV,1,11,CTC,24
2,8,2.04,0.61,ug/ml,P,Swine,IV,1,11,CTC,24
2,12,1.11,0.22,ug/ml,P,Swine,IV,1,11,CTC,24
2,18,0.36,0.11,ug/ml,P,Swine,IV,1,11,CTC,24
2,24,0.17,0.05,ug/ml,P,Swine,IV,1,11,CTC,24
3,330,3.55,NA,ug/ml,K,Swine,PO,14,22.05,CTC,12
3,336,1.81,NA,ug/ml,K,Swine,PO,14,22.05,CTC,12
3,348,0.98,NA,ug/ml,K,Swine,PO,14,22.05,CTC,12
3,360,0.54,NA,ug/ml,K,Swine,PO,14,22.05,CTC,12
3,372,0.56,NA,ug/ml,K,Swine,PO,14,22.05,CTC,12
3,330,1.55,NA,ug/ml,L,Swine,PO,14,22.05,CTC,12
3,336,0.82,NA,ug/ml,L,Swine,PO,14,22.05,CTC,12
3,348,0.57,NA,ug/ml,L,Swine,PO,14,22.05,CTC,12
3,360,0.41,NA,ug/ml,L,Swine,PO,14,22.05,CTC,12
3,372,0.47,NA,ug/ml,L,Swine,PO,14,22.05,CTC,12
3,330,0.38,NA,ug/ml,M,Swine,PO,14,22.05,CTC,12
3,336,0.18,NA,ug/ml,M,Swine,PO,14,22.05,CTC,12
3,348,0.1,NA,ug/ml,M,Swine,PO,14,22.05,CTC,12
3,360,0.08,NA,ug/ml,M,Swine,PO,14,22.05,CTC,12
3,372,0.07,NA,ug/ml,M,Swine,PO,14,22.05,CTC,12
3,330,0.16,NA,ug/ml,F,Swine,PO,14,22.05,CTC,12
3,336,0.08,NA,ug/ml,F,Swine,PO,14,22.05,CTC,12
3,348,0.04,NA,ug/ml,F,Swine,PO,14,22.05,CTC,12
3,360,0.04,NA,ug/ml,F,Swine,PO,14,22.05,CTC,12
3,372,0.04,NA,ug/ml,F,Swine,PO,14,22.05,CTC,12
4,1068,1.22,0.38,ug/ml,K,Swine,POW,45,22.05,CTC,12
4,1182,0.32,0.09,ug/ml,K,Swine,POW,45,22.05,CTC,12
4,1302,0.27,0.07,ug/ml,K,Swine,POW,45,22.05,CTC,12
4,1068,0.52,0.06,ug/ml,L,Swine,POW,45,22.05,CTC,12
4,1182,0.16,0.04,ug/ml,L,Swine,POW,45,22.05,CTC,12
4,1302,0.1,0.04,ug/ml,L,Swine,POW,45,22.05,CTC,12
4,1068,0.37,0.16,ug/ml,M,Swine,POW,45,22.05,CTC,12
4,1182,0.06,0.03,ug/ml,M,Swine,POW,45,22.05,CTC,12
4,1302,0.06,NA,ug/ml,M,Swine,POW,45,22.05,CTC,12
4,1068,0.63,0.84,ug/ml,F,Swine,POW,45,22.05,CTC,12
4,1182,0.08,0.06,ug/ml,F,Swine,POW,45,22.05,CTC,12
4,1302,0.2,0.08,ug/ml,F,Swine,POW,45,22.05,CTC,12
5,156,1.23,NA,ug/mL,L,Swine,PO,7,16.5,CTC,12
5,228,0.109,NA,ug/mL,L,Swine,PO,7,16.5,CTC,12
5,276,0.102,NA,ug/mL,L,Swine,PO,7,16.5,CTC,12
5,324,0.069,NA,ug/mL,L,Swine,PO,7,16.5,CTC,12
5,396,0.058,NA,ug/mL,L,Swine,PO,7,16.5,CTC,12
5,444,0.067,NA,ug/mL,L,Swine,PO,7,16.5,CTC,12
5,156,2.29,NA,ug/mL,K,Swine,PO,7,16.5,CTC,12
5,228,0.121,NA,ug/mL,K,Swine,PO,7,16.5,CTC,12
5,276,0.087,NA,ug/mL,K,Swine,PO,7,16.5,CTC,12
5,324,0.08,NA,ug/mL,K,Swine,PO,7,16.5,CTC,12
5,396,0.06,NA,ug/mL,K,Swine,PO,7,16.5,CTC,12
5,444,0.041,NA,ug/mL,K,Swine,PO,7,16.5,CTC,12
5,156,0.08,NA,ug/mL,F,Swine,PO,7,16.5,CTC,12
6,156,1.32,NA,ug/mL,L,Swine,PO,7,22.05,CTC,12
6,228,0.11,NA,ug/mL,L,Swine,PO,7,22.05,CTC,12
6,276,0.083,NA,ug/mL,L,Swine,PO,7,22.05,CTC,12
6,324,0.067,NA,ug/mL,L,Swine,PO,7,22.05,CTC,12
6,396,0.034,NA,ug/mL,L,Swine,PO,7,22.05,CTC,12
6,444,0.049,NA,ug/mL,L,Swine,PO,7,22.05,CTC,12
6,156,2.69,NA,ug/mL,K,Swine,PO,7,22.05,CTC,12
6,228,1.48,NA,ug/mL,K,Swine,PO,7,22.05,CTC,12
6,276,0.107,NA,ug/mL,K,Swine,PO,7,22.05,CTC,12
6,324,0.069,NA,ug/mL,K,Swine,PO,7,22.05,CTC,12
6,396,0.047,NA,ug/mL,K,Swine,PO,7,22.05,CTC,12
6,444,0.047,NA,ug/mL,K,Swine,PO,7,22.05,CTC,12
6,156,0.1,NA,ug/mL,F,Swine,PO,7,22.05,CTC,12
7,324,0.75,NA,ug/mL,M,Swine,PO,14,24.26,CTC,12
7,348,0.28,NA,ug/mL,M,Swine,PO,14,24.26,CTC,12
7,396,0.23,NA,ug/mL,M,Swine,PO,14,24.26,CTC,12
7,420,0.14,NA,ug/mL,M,Swine,PO,14,24.26,CTC,12
7,324,1.88,NA,ug/mL,L,Swine,PO,14,24.26,CTC,12
7,348,0.65,NA,ug/mL,L,Swine,PO,14,24.26,CTC,12
7,396,0.68,NA,ug/mL,L,Swine,PO,14,24.26,CTC,12
7,420,0.53,NA,ug/mL,L,Swine,PO,14,24.26,CTC,12
7,348,1.69,NA,ug/mL,K,Swine,PO,14,24.26,CTC,12
7,396,1.5,NA,ug/mL,K,Swine,PO,14,24.26,CTC,12
7,420,0.8,NA,ug/mL,K,Swine,PO,14,24.26,CTC,12
7,324,0.2,NA,ug/mL,F,Swine,PO,14,24.26,CTC,12
7,348,0.06,NA,ug/mL,F,Swine,PO,14,24.26,CTC,12
7,396,0.06,NA,ug/mL,F,Swine,PO,14,24.26,CTC,12
7,420,0.04,NA,ug/mL,F,Swine,PO,14,24.26,CTC,12
